titel,aktualitaet,preis,land,versand,link
ORTEGA R221BK-3/4 Konzertgitarre in Schwarz B-Stock,Neu (Sonstige) |,"CHF 229,73",aus Deutschland,"+CHF 18,44 Versand",https://www.ebay.ch/itm/326799254520?_skw=gitarre&itmmeta=01K832FRTNC978T01RTA97NXWM&hash=item4c16c0e3f8:g:Nn8AAeSwdaVo3qNX&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cXD4twsvZpMkfAvCE0b29Zd0ro4KEGHBHuIdc0kdtbfbD%2BYLA8hDq5A49VSJXpYjozU%2B3LIoxbP%2BXHt7zjf4YxmkClD0Q705LKN3Wjb3hha7R3eYlR7o3x0QBYQe1RZr3opPcHGHqq6BM1OzvTifzzgDU1jAPauMO6Lpw7dqT%2BgV9M7en720AfNALHsL7p3ySoYN7ObSvJOxxAdIK29fOAAKPIamQ17YemHuyHEzf071hj8j7rmjjEvu13KtJSnDI%3D%7Ctkp%3ABk9SR5KOv-LAZg
KONZERTGITARRE GITARRE SCHWARZ MATT ROTE RANDEINLAGE 4-BAND EQ CLASSIC CUTAWAY,Brandneu |,"CHF 56,98",aus Deutschland,"+CHF 27,57 Versand",https://www.ebay.ch/itm/192036696747?_skw=gitarre&itmmeta=01K832FRTP4R0ZEY77GE3W65GT&hash=item2cb64772ab:g:bSkAAOSwX-Zdv~V~&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cF9GHNkae8cc7Qlyj%2BuZEEEVnPWMhokRv2%2BEaBSANN0I1lVpUeBXw4uufAyTaqzlqXzJuQR2oaK1vNJ3N8RCMH%2FILRrdtSFlP5wxMsi4jQyc4T8mYVkPsZ%2FykvqVkpLy6V6aJ%2BZOUdEUedshquimM%2FJ%2BQEi5XRjvcq7o7WHo8%2FUxhuaw0UULhGblDA4%2BrJvPrmrILg3s28qZgDP7ynjEiGAybdMG93t1mlFALU0nRKrb0F57noq1Ikw3sBJ1Xz1Ycbdz42o53q%2FdslrmAOXN6u%7Ctkp%3ABk9SR5KOv-LAZg
HOFNER KONZERTGITARRE - HALBER PREIS,Gebraucht |,"CHF 38,90",aus Deutschland,"+CHF 59,84 Versand",https://www.ebay.ch/itm/177451660938?_skw=gitarre&itmmeta=01K832FRTPBZG6MB1YSSP2SAYG&hash=item2950f1768a:g:uc0AAOSw~xRkLPk6&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dbzE1z3tP36pd9gr3GOMMDekUCpDRLm1NRcSxSuOk0ZsUrIMJu2OeslEgtJF2mJ1HsCpI963Qa78bwjoK2oNCCE%2FHpPZgQ7uz%2BtXQ7jpyWqneFyEWpg55AODhoOke9%2FN2Rrd8NpoRIgnx2k0SH7oET%2FxH8XwY4V1OCN6KbAMOmqJkrtj1xBjqC%2FfKuSUimjTQTwkKEqdbeCeqx09HE64UnriE5pXI15HLomjKW%2FDcYLLeaBibR7cigffWj0VxO3kKQ8JfYkv%2BAFt2FkVwyg2rk%7Ctkp%3ABk9SR5SOv-LAZg
BROMO Gitarre Tahoma Series Hillside Auditorium BAT2M *AUSSTELLER*,Neu (Sonstige) |,"CHF 229,73",aus Deutschland,"+CHF 45,21 Versand",https://www.ebay.ch/itm/235897791904?_skw=gitarre&itmmeta=01K832FRTPXZ2FS8TT27P7SR03&hash=item36ec9aa5a0:g:TbIAAOSwCj9nd8p4&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dz7hpzZiLE8UDKJrjxGLHZrFDYXGR5A%2BcpAl6ZBpHZknOVGFlvluNoT5Igt7Z9QEQYEpf%2BKZtjkrXVb9%2By3XZHcS5IN0cooYvdz0BYvfxhFFVHeVAILzrlggyhbq2yKeLtnlN4ck%2BoTfwznKnauyiRGA6O4McOgSb828B67Uutc1HaKOmLvDh4d6m8CbvcWFs7SkDKgGO9yy3yrHRctnx9dH8tCzQVgQ7UnW3VuFQ8Fg%3D%3D%7Ctkp%3ABk9SR5SOv-LAZg
KINDER WESTERNGITARRE 3/4 MODELL SCHMALER KORPUS PERFEKTER START AKUSTIK GITARRE,Brandneu |,"CHF 37,71",aus Deutschland,"+CHF 27,57 Versand",https://www.ebay.ch/itm/143557580502?_skw=gitarre&itmmeta=01K832FRTP08RA7ZZ1TVS1VAV2&hash=item216cb2d6d6:g:sisAAOSwGB1dMX2q&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cp89s%2FeV%2FT0X1GCRF6XH4QD9qWuiTmQvLYYzPaG39ctKJElzL8%2FVnVr27rUwIhNW8dOQalYdwnvNdZqKJfNU9kdWS%2BovzDvkbFliDx6SGiESdb83RlYK0Lkx32iafLI5XtkyX%2B%2FNUYOueVgIfAs2Jg16hVD2V2F1e%2F1jXMy2O5ZePvQLslqj8TFE5fMT3%2FHtxWADIt19IiyJc3uJSWC3Nfbvbe%2Fd1sR7p1MljR%2Bp3UhT%2F7Crfk%2BpLwRWnQRyPF%2FHNRPnkqtws8ckS%2BhYQ4plwe%7Ctkp%3ABk9SR5SOv-LAZg
ALHAMBRA 2F Flamenco 4/4 Konzertgitarre,Brandneu |,"CHF 444,71",aus Deutschland,"+CHF 18,44 Versand",https://www.ebay.ch/itm/326799254285?_skw=gitarre&itmmeta=01K832FRTPR5J61BDT1QGBVCKG&hash=item4c16c0e30d:g:tsgAAeSw2pho3qE8&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dN5J7gk79cQJ8RZvLa5Eeh7%2BFbx9WPsoGJD31MKXmyXbTiV5Qpe5OOnFpVzsHBYxWRnwNE9NzwdP3Poe%2FKtxKi%2BByJtbaDm5pMVftIasB59OrEgETbenr3bbjGKXLKsdNLC7VgoBhwfM8tuG0h64Lvu6KwKD0k2QtFXtf%2Bij3EdGmiZJXUr3bKqb2ZOEzmIKTdKmG6lwjgnWyC%2BcJLyz4FsNYkBhLmgmKJuz5ktXpNEm8q8Z9bNlJUTqDYELxcVV8%3D%7Ctkp%3ABk9SR5SOv-LAZg
4/4 KONZERTGITARRE MASSIV MAHAGONI BODEN FICHTEN DECKE WEIßE RANDEINLAGE HG81,Brandneu |,"CHF 75,42",aus Deutschland,"+CHF 27,57 Versand",https://www.ebay.ch/itm/192486603620?_skw=gitarre&itmmeta=01K832FRTPJ1F8M3EFMZJQP3EX&hash=item2cd1187b64:g:SfwAAOSw4pBiFKuK&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eebmzQQJ5Lri1qCW8RglUejxqz11hBXtB%2F8lBbskY5tkl4MAMsymyiNvarcE10MhJ81FgObprW5QgQFJf%2Fzf3%2FBi8H%2B%2BP3swVy6U3SG2wLYg5mzAuUdzVt9cLIzJ0B61T77UpjxDDgZgRr1UEDvflMLTbFlwcxxiy6KIly9Utf0AFcEdV%2Bom2KFT7%2F4Gv35zfD2SraTCuZOo4jiLuhm3JM3mXonghzr9vFJaBtnBSOdKjPTFzU9jMjpO%2FT9OuUEW2LcA1rluMw3S%2FSGEHPLCJI%7Ctkp%3ABk9SR5SOv-LAZg
La Mancha Rubin C 2023 4/4 Konzertgitarre,Brandneu |,"CHF 239,37",aus Deutschland,"+CHF 9,97 Versand",https://www.ebay.ch/itm/226460248715?_skw=gitarre&itmmeta=01K832FRTP2MV30R23CQ8YJMJ8&hash=item34ba152a8b:g:7iQAAOSwubNnP0Jm&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fBbnffa9iwt7ZsnqlS7HYLaK%2FMkhGkilKu7aiS%2BjAUak68X28r%2BSvCKW6d4wActY03JoUTcF2WP1Urlgb9yJRewX5L8qEqTLSmF%2BbfhqNM%2BQd0LDRzfL85ufZ8aOXwvgabRxAsgSIX5gVBDiR5fCGV5cTblKs0r1oS2C%2FEc6efpZUjcewNp%2BtE7mo0kMiB5mZdNO8FIWpzyJCwrknuu4S9%2FZsP7EsSDYAwrexcEO1C10ER7ns8IupdoessBpzMMGRk5Hcz5SrOcjz4rqSkzcT0%7Ctkp%3ABk9SR5SOv-LAZg
"ORTEGA TourPlayer DeLuxe Nylon String Gitarre - Fichte Schwarz + Bag ""B-Stock""",Neu (Sonstige) |,"CHF 350,60",aus Deutschland,"+CHF 18,44 Versand",https://www.ebay.ch/itm/326266874112?_skw=gitarre&itmmeta=01K832FRTPDSG1B91XX7JBBDD9&hash=item4bf7056900:g:xf0AAOSwGd9m4t-I&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1efAFCZesMlFzPbNHxhxKE5rpsHVlf0wgj9vcgsvkUu7xEKVU4mH3GznnzINaUJirjKslqaP7faoyOSPhYCJejWMGY4xqx0sFLUHqUswSwsBTkvQWtdgtxVORfeaTMfyiFQBoBLVUBeZErTmF5odqm0%2BsGHGJL0bK1Kre6y%2F6dd1DyUL3y7%2BuUeDHXHOxYE9lxNmh4zJZaoPViDAnkRObsPGymu7sCt2G%2FEzxzio%2FVw2lCh2nVWp0D6qCdWvM4woU1E6zHW5cMrQgsPAix9fOM5Po1xCkRR7UaqQl5bKKjq5A%3D%3D%7Ctkp%3ABk9SR5SOv-LAZg
"4/4 Konzertgitarre im 10-teiligen Gitarre Classic Starter Set = Tasche,Schule...",Brandneu |,"CHF 53,63",aus Deutschland,"+CHF 27,57 Versand",https://www.ebay.ch/itm/142988207256?_skw=gitarre&itmmeta=01K832FRTPN1G5QP1P5YNT3DPM&hash=item214ac2e498:g:vbUAAOSw7vplfFAC&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e%2BWoSkInrIWY4%2Biu8Jb3VJjR0gXMOupH6obQwo6%2BDu4j09WKt3IPlCPdTAT8S2TrgPy38TBDavw7mEbEvmqQg7c9v7SwJjRnEbu9e1AhD4RVEd2lIh51mf3GQGFDkEstIcSc4DZhkrj2oKFv5%2BoaedhsgdRZoI%2B31EiV47JouTWBnPASlbsWOhmqN4a4DlelW4n9N2RqCSc9V%2BU4WJ2iIXZu%2BbfygE97SLJ1%2FOFXgb9A%3D%3D%7Ctkp%3ABk9SR5SOv-LAZg
"HANIKA 56PC - Konzertgitarre ""B-STOCK""",Neu (Sonstige) |,"CHF 1.312,90",aus Deutschland,"+CHF 18,44 Versand",https://www.ebay.ch/itm/323926644455?_skw=gitarre&itmmeta=01K832FRTP5CZ1EPM7H6H31GMJ&hash=item4b6b8856e7:g:TfcAAOSwHK1f0KBx&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1eno472ArEzePyx0dAG1kr6qJ3hguRZrr5XKIMiASjUcD%2Bk4tcwLt7Dn6LoNIg6WC2HGLw6Vnyf4Y5ghAusZVUMCFIo81QEWZBZnkZ6JfU9jzFHRgAEsjrBbaDSgqoYkn%2BrfNEtH9NlZKJtZG0VyF3ie37xcngVo%2F1vcnLWrBDMx0MB9qQoxESwAP3AQh0q%2BkeJC6qB45pfwIrD0u5qpdesy2h16u0YNpJpZjLJpU5fww5Y7Bgy0V5gQlR%2Bc972VTg%3D%7Ctkp%3ABk9SR5SOv-LAZg
70's HOPF KONZERTGITARRE - PATENTED EVERSTRAIGHT NECK,Gebraucht |,"CHF 118,69",aus Deutschland,"+CHF 78,79 Versand",https://www.ebay.ch/itm/127403458426?_skw=gitarre&itmmeta=01K832FRTPK4SE49YMYKQ66MDG&hash=item1da9d67f7a:g:6l4AAOSwDoFkLQAV&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c8GCPqqIUOakos%2BGG6%2Bt1Z94QRVX%2FlGFHnLI5XsNHDBMcxar9joAXsiNG5EygbJASLhIcM1kv0O2Ib7OscTkwkeNeVojwPxMsixAgVshlhUjJ88B9eHtEWmTcslW85QdOkfyB4c1TdCeSCIPPfDRmKbKXhHWe%2FXrj7gpK13wGyOPThAKCy3w8OV8Au%2BAzjM8icFGmCnPlCjEy5oo%2ByXJnwrqWKUxDkto0JyWlrp561w2pfotj8fjJasLUt55FDSj0b%2BYQG7jOuvX2elJAO4e2y%7Ctkp%3ABk9SR5SOv-LAZg
Godin ACS Nylon Gitarre Slim Natur Cedar,Gebraucht |,"CHF 1.993,73",aus Deutschland,"+CHF 6,98 Versand",https://www.ebay.ch/itm/197158285092?_skw=gitarre&itmmeta=01K832FRTP55D83YCFNJ8N0YK7&hash=item2de78caf24:g:4o0AAeSwFnNn59SW&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1f%2BtK3AG6GhrKlldmBg2JkQWUOYX7J9%2FeqJqsv3z8hREV0qaJWDIpoNbm1DsBWekpP5a1SvW9E8dnTTlOZNAou72QWKdmriG7mwiTmrmU907YZJfzyd6h30qUC3zKLeMIGhL4HsYpII04ImAXH46xYm916VvdLTV4s6XhcdWDQgrmK9F25MWqrSYh7WqSU1aeQBw12NeNUf4HfZzBGCTgnT%2FufusWUyQ2f5oRKYNyB1Dbul0YpFhSrpHIFBxq2%2BEEs%3D%7Ctkp%3ABk9SR5SOv-LAZg
Ortega R131-SN WR Konzertgitarre mit Tasche,Brandneu |,"CHF 250,60",aus Deutschland,"+CHF 8,30 Versand",https://www.ebay.ch/itm/146899858361?_skw=gitarre&itmmeta=01K832FRTPMYM7YAE1E2YTT9Z3&hash=item2233e9f3b9:g:XqkAAeSwYb1o8QJZ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cXEWHk1Nhtv8mN%2BUkuxiWzJagQhR79cAXNNug7UE4KR16nS4EWfZ8FU04izINvktF%2FPBV%2BpF5oAijakgrCcwwaD%2BYzFGogfpjfd54xE13bGbuXMG1%2F5ylHTjJ%2BGlGG3WmwB0pizaQSqzrCEDLj4ftGif0d7emYXT0fdai8CQ7W%2FJva%2BO93O6VKaGTBLDQJGSFwmk2XHLxYelYjIypc3Iq91MiOW2MFbWCZoyqoeJLCKw%3D%3D%7Ctkp%3ABk9SR5SOv-LAZg
"Gitarre 3/4 Modell-jugend-kinder- für linkshänder/ lefthand, mit Zubehör/ Set!n",Brandneu |,"CHF 36,87",aus Deutschland,"+CHF 30,09 Versand",https://www.ebay.ch/itm/190584663782?_skw=gitarre&itmmeta=01K832FRTPAYMN305KGK807NGW&hash=item2c5fbb2ee6:g:ibgAAOSwA3dYgIfA&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dUT%2B%2BUoi00D4te7gPW7q6GI30VvDJNeYGGvxePO0gCDcZ6naPFiLXkHY6f9KoP1PhZPcbzGq9AdxyoHeAsD1J61JGTXMzK5oobSyiZAwUZ0zoGcsc1i6WU336ZQKVCpC8v52P2MEKQ2CcsOG9IRiZBANOltgjZu07Il0bw5HBChHpeRqJPcFllzMuuzk7G5XHcLKp9%2BD90yIaI5kqX31xf3LhYGKZ5%2BCew3ZxMbK7yVA%3D%3D%7Ctkp%3ABk9SR5SOv-LAZg
Ortega R-121-L Konzertgitarre für Linkshänder incl. Tasche,Brandneu |,"CHF 183,55",aus Deutschland,"+CHF 8,30 Versand",https://www.ebay.ch/itm/146899858318?_skw=gitarre&itmmeta=01K832FRTPZEK3PSZAFW905NJC&hash=item2233e9f38e:g:F7QAAeSwt1ho8vK8&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cDEpSA4lZlAcwY%2FgqoTqk8ct%2FqK--bCMF3ta89qTaZCD2eU%2BCeZuRoqsnkKjJQ2EQvt6ltfgDM1uzvYgf9pYq0JyDxRbTiEnGBzK4uuQdrwIXOmgKrig018WrAYC941TZvr1uth935W5W6i%2FHeYEZk7mKrsJG6qnYTwf%2FCf29Jp9uiVbfGkl36ju9v4kwQ4rwqFTHBuVCF7Irip2%2FGL3YDmkIF6Y85udc4kmLvdE%2BTF9jReAa6apkoIJcXdUuW9A0GOAEQoQiHzzX7GIzjbmAk%7Ctkp%3ABk9SR5aOv-LAZg
"Gitarre,4/4, Konzert-verschiedene Modelle zur Auswahl, Lern- u. Schulgitarre!n",Brandneu |,"CHF 32,68",aus Deutschland,"+CHF 30,09 Versand",https://www.ebay.ch/itm/190877663020?_skw=gitarre&itmmeta=01K832FRTPEFT4NSS9W917WRH3&hash=item2c7131ff2c:g:rigAAOSwBZ5cjz9i&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d9l5CYuIrEYKbj%2Fx96ynARKIyVYARLZYVPHVNaacI6xrycefhT%2FMD9dvOEBgvpVtFWLQEupJj0NHBdyUatF4%2Fqxevx0IL5xHD4uU92B0CJq%2B4fN9C24cn6ltXdgXd3KT1qMvGcfojAFoQQqAFKzSn1Zfkb61Ct6berJ1C82rtgEY7ylEJ2NyXqF9Gnt0OBgVnQlFiRCHs0rJUr%2FUWfMwTylr9Mp3vNNNMedxzs88JUpA%3D%3D%7Ctkp%3ABk9SR5aOv-LAZg
Höfner HM-65-F Konzertgitarre,Brandneu |,"CHF 753,47",aus Deutschland,"+CHF 8,30 Versand",https://www.ebay.ch/itm/136605857263?_skw=gitarre&itmmeta=01K832FRTPFRCKA4XKJJC5P8XT&hash=item1fce57f5ef:g:8aIAAeSwFoZo8QMP&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1epe45ymnIYjDsqHMxOBZkhUtJ7q04LTtVsdXVqLg9MQR%2BvoXyK85Ibs27fY27adbSe4dwpnuQXDBbSfK0qBk%2F4m1HA%2FPVujh39xLc%2Bv3pxLi1TcyUaNLeZZ%2FRuY3dIKOooaSRFFwMQBXxIu3D8QTFQrDQJtP7EA4PAZgwOmWaqHR%2B8xTeZSuK6x%2Bewn4tuxNm6EV2f%2FjLkGg22s5C3YOTBd2s9740GHem3F77iZyQ7lw%3D%3D%7Ctkp%3ABk9SR5aOv-LAZg
Pro Arte GC-130 A Konzertgitarre,Brandneu |,"CHF 217,07",aus Deutschland,"+CHF 8,30 Versand",https://www.ebay.ch/itm/136605857295?_skw=gitarre&itmmeta=01K832FRTPJQ38YHTVPH6CM0TT&hash=item1fce57f60f:g:THwAAeSwfHto8QIe&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dfNTq3pCqcVA7LTdXQpyd8rduLVwc3Gc7pw5pzV%2BCnl4ZqPsn528rO9CMkKQvltexnnV%2FgyQIpj5swqil8e2E7o5xIxLFA8yeIRa0xavh2G48om6QKhOiPtscatGQ8wsqRvqZheoIdGuKQ4mW8Wogyc1OYnLQtAm33F2eKpzrPwc%2FjjAYC8xIa0XztgHb4GhROxCCF2vH8%2BV%2FJmOvvdHF5zLDdUXJDjC7X7rvKE6JCNIJTIdHF3s%2F44Kc71JKonBKBYDGft%2Fi6V2XOd651mBRk%7Ctkp%3ABk9SR5aOv-LAZg
STARter Instrumente Konzertgitarre Spezial Edition,Gebraucht |,"CHF 98,74",aus Deutschland,"+CHF 28,92 Versand",https://www.ebay.ch/itm/226978585310?_skw=gitarre&itmmeta=01K832FRTPVFWV2KCB9EC77JBV&hash=item34d8fa5ade:g:HYcAAeSwHVxoymqp&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fm%2FvXog2OzetXZU6lSsz4tTKTfozuwML4s%2BcJsGDGHQaLT11pj7w5ApIwhPmKONR8bnZ8YKuzENP0qJka%2BiiuCUN5zJUfmml%2FYttr3Ko6LwpETfmHqoXCmNPOv4HAkvyie87NFe4nIJxfWS3V22zVkKXRxQRN0ZEYi5%2FVrOHVuNMxXXG52gQ3DBc9oAAV7IXlfJ%2FQQf9GxzGHcAyo7jXIzwEdTcEpFSlrSu4uK9ThB2Q%3D%3D%7Ctkp%3ABk9SR5aOv-LAZg
La Mancha Rubi CM/59 3/4  Konzertgitarre 3/4,Brandneu |,"CHF 217,07",aus Deutschland,"+CHF 8,30 Versand",https://www.ebay.ch/itm/146899858363?_skw=gitarre&itmmeta=01K832FRTPHHHNVYZZZT86DGCF&hash=item2233e9f3bb:g:NV0AAeSwpXJo8QId&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cTY5vfHG2ODezRrRHsqVU%2FY80b3TXqDRQHULLU9iiiYtufkDHCk8GIc57CabKdNp1LBl7yLP9f6%2B3hcdT5%2BBdJZhwbK8HF9%2F8t3QYWBxPVMOKeXGBGGnZVh6pec%2FdcvHBeRDZvOC9OOey2T7uuW%2BiNx3WVZQKubABHW%2F09er9vnQZA9Up3oXp7kFcZloaN7%2BjDZ1vFaJne2hS9%2F4EePwf59aGXbfDwC%2BSJgZfsNKlIBA%3D%3D%7Ctkp%3ABk9SR5aOv-LAZg
4/4 Konzertgitarre Schulgitarre Fichte funiert - natur getönt Hochglanz Finish,Brandneu |,"CHF 41,90",aus Deutschland,"+CHF 27,57 Versand",https://www.ebay.ch/itm/190811455718?_skw=gitarre&itmmeta=01K832FRTPNPSK2VSFAWR007D2&hash=item2c6d3fc0e6:g:IvkAAOSw8s1kRlvt&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cJom0WXHHGyNGZY2TyAgLk9Ln0ZhQoGZVw6uIOQoS3evRn99ZbslfsrchXza6cm841hCCNBEY2HGVllQ4b6my3eiM%2FHhP2kPjn5Evb%2BxUh%2FJaqDvAU96JLuY%2B5kWZCd5I1I7sfgrcHF%2FVzbPGJaSuhdPQxXbGwaZ%2BFw4xW3CzzLXlJKdJ49EtTz%2FYUCjg0HXujhDVNpssA2tT2zvFWI%2B1dISFsfFMoIUgSXo53GaVW%2Bw%3D%3D%7Ctkp%3ABk9SR5aOv-LAZg
4/4 Edle Konzert-Gitarre A. Sanchez Pro Tierra PT-42 Vollmassiv Fichte Ahorn Top,Gebraucht |,"CHF 448,81",aus Deutschland,"+CHF 34,91 Versand",https://www.ebay.ch/itm/167702706261?_skw=gitarre&itmmeta=01K832FRTPZD7MZBJDJ9T8K4RP&hash=item270bdc3855:g:T~oAAeSwQypolf5D&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fIP98EourLy9orSd80DjKxAQQ2N1ZcuFJAcaKt5pdGCtnMY80lGgd39UzMP4V80v6rhCGNSkPaSGENmysDa%2FumqM2uMKxH8rs2UgP0tiJsXAM2AjDGAlXpY3489C7DvmL8s3AMVyilWz26%2FhWvwBSflJjbT%2FYld56dAN7V6rUesBgto4cFtZJLse1tODnyEmIcsMCq4vvHzloByNTlZeZ9i%2B3ftOHWQr54MjllnXl4Oc3%2By%2BKKFtHB3hZoR88%2FpQ8%3D%7Ctkp%3ABk9SR5aOv-LAZg
La Mancha Rubi CM/53 1/2 Konzertgitarre,Brandneu |,"CHF 208,69",aus Deutschland,"+CHF 8,30 Versand",https://www.ebay.ch/itm/146899858380?_skw=gitarre&itmmeta=01K832FRTP4J594TC3X86CJNTV&hash=item2233e9f3cc:g:AsIAAeSwUBVo8QIf&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1e7lAFhIhkR5%2FNxxflLlP%2BDAusm02NkGowI627IFdIEkFyFy61dBndYoGVDU1Z4DDMwyg0F%2BUNdeIJq%2F4yw7qKxi1ycqJUcweX2qfYwlL7E7OiN%2BaGEZPPuZDUZXM3p%2B9xgzZ3f%2FCmEQpJaWSQJlVgptKIba5Ef6tkleQ6UT5QwKzFBJgEllufPo2N%2FyLlw60x1eKkGBT7snJ2nr71ppu8SbUxFpf3DG%2FNFWxRIdkKld%2BdyGgPHwFMxTwEmxRJPwKC5JpklaAxiffYo4oGuN1XF%7Ctkp%3ABk9SR5aOv-LAZg
"Gitarre,4/4-Konzert Set/ Zubehör,Tasche+ Gurt, mit ersatz Saiten,3xPik/Plektren",Brandneu |,"CHF 46,09",aus Deutschland,"+CHF 27,57 Versand",https://www.ebay.ch/itm/192878042174?_skw=gitarre&itmmeta=01K832FRTPBMSNMNW6TD10HZN7&hash=item2ce86d5c3e:g:0~YAAOSwHm5ZuPuV&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1doYnMuNRdrNDSbos2maX635M6tMEtyufcwCrDUloAv0ZYYRSCZhC0dRLJ4%2F%2BN10sovJe66T9pH%2FQ4CEqWGRJNZm56Qhbog79s%2ByOIlB096WFtIl2%2B8lIdKnxPV21ZMFGd1xyXy%2BOZYWm3c%2FYEQWHZlWQl41ANIvJPGIc%2FcpB%2FvLmpaiongh09xburFCWLYOYGhXrhdY68QNNXbc5cwfnLFxobI%2Fv7HBruWSLU9wfHuPw%3D%3D%7Ctkp%3ABk9SR5aOv-LAZg
CORDOBA 55 FCE Thinbody Negra - Flamencogitarre mit PU,Brandneu |,"CHF 1.340,58",aus Deutschland,"+CHF 18,44 Versand",https://www.ebay.ch/itm/326799254077?_skw=gitarre&itmmeta=01K832FRTPHVWVAQFAHE7SJR2B&hash=item4c16c0e23d:g:MiUAAeSwEABo3qCJ&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cDRAYsC78hZAlLR%2BdF8KVZAWEHGrJUnwTAykSTeEI94Fh%2Fj3RDYJMkivBmlsfJcP82MNwcE4tik9RjCV36xYKvzVUnHn5LNFbRwdEvdu1T1QI4YQ1G93h1sSyUIP54IV8A1rgoyXBmmgqON6MP14qazujmM3wtU0ZO9tE%2FD3VZA2RPQxM4Hay4PIGuBuXEGJnCVZqxcQG6h2tQ5SZhIuDmSxL8bRqvXIBOYxRCpfRHt9lfaApzf9Kmqcnfe6FFqCKMA5gcO32w4M29GbbQ15dcBpsodol5p0dEYjalEQaXSg%3D%3D%7Ctkp%3ABk9SR5aOv-LAZg
"Gitarre,4/4, im Set-Tasche+Gurt/Band-Kapodaster+ersatz Saiten-Stimmpfeiffe!23n",Brandneu |,"CHF 47,76",aus Deutschland,"+CHF 27,57 Versand",https://www.ebay.ch/itm/190660615921?_skw=gitarre&itmmeta=01K832FRTPRCM81B6SPGEPV8N8&hash=item2c64421ef1:g:bD8AAOSwPCVX36Lr&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eATat0DOOr%2BSWYmWfBCLeeCa%2B7RFIRkgdvW0nBcOX3DMzYaXQ4PEQd1S4HtrNJyrS3mj%2BrRTgW9u5QaTAt%2BjcubmXLs15VDgUuE1Vo%2FPNmE%2FbCTCbKppvGXEWYKfLD2r55vg79PpZKrYHFwFWDhVQajTGpglzHm%2F2JAfefRytYwgb1Yngte5FQ8Qt2A1f7Rb%2FzHqjbmpryANt8L5gnMFgh7R1C%2Fe6YeXWFtDCUrwUMcQ%3D%3D%7Ctkp%3ABk9SR5aOv-LAZg
"1/2 Kindergitarre, Konzert, Klassik, Jugend, Gitarre ^^^ VERSCHIEDENE FARBEN ^^^",Brandneu |,"CHF 34,35",aus Deutschland,"+CHF 27,57 Versand",https://www.ebay.ch/itm/191543150557?_skw=gitarre&itmmeta=01K832FRTPFP261AW89BSZVX75&hash=item2c98dc87dd:g:pj4AAOSwB09YEdO6&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fCIT47Kli5NaN8rEbastRvQ4NwE3nhGEbIUMaTHSh%2B2u3r3FcXuoaWvjxiGfVM%2BY8bqHoVWatWnmHgggajgp3db22A5C4pCV2G6uXgbaWU23LM3mqWujbQXBxL7tdW6zM1L0QNss9Rw%2FMnPa8bDDMlv0VAvMKy1CStlQd6K5m%2BaUiroRRR3HcJkw6v1lLWnJj%2Ff83BdMegDnSd9vgMOEjGKq%2BJ0S2%2FtQ8o8VgP%2BByV6g%3D%3D%7Ctkp%3ABk9SR5aOv-LAZg
